Date,open,high,low,close,adjclose,volume,ticker
2021-08-26,23.10000038,23.20000076,22.85000038,22.89999962,20.56046295,4388277,IRFC.NS
2021-08-27,22.85000038,23,22.75,22.85000038,20.5155735,6665003,IRFC.NS
2021-08-30,22.89999962,23.14999962,22.89999962,23,20.65024757,6514245,IRFC.NS
2021-08-31,23,23.35000038,22.85000038,22.95000076,20.60535622,12755814,IRFC.NS
2021-09-01,23.04999924,23.14999962,22.95000076,23.04999924,20.69513893,5746286,IRFC.NS
2021-09-02,23.10000038,23.14999962,22.95000076,23,20.65024757,4622547,IRFC.NS
2021-09-03,23,23.14999962,23,23.04999924,20.69513893,4485349,IRFC.NS
2021-09-06,23.10000038,23.14999962,23,23.04999924,20.69513893,3775722,IRFC.NS
2021-09-07,23.10000038,23.14999962,22.95000076,23,20.65024757,5302631,IRFC.NS
2021-09-08,23.04999924,23.14999962,23,23,20.65024757,3914433,IRFC.NS
2021-09-09,23.04999924,23.10000038,23,23.04999924,20.69513893,3847580,IRFC.NS
2021-09-13,23.10000038,23.14999962,22.89999962,22.95000076,20.60535622,8635952,IRFC.NS
2021-09-14,23.10000038,23.10000038,22.89999962,22.95000076,20.60535622,11404677,IRFC.NS
2021-09-15,22.95000076,23,22.79999924,22.85000038,20.5155735,17256868,IRFC.NS
2021-09-16,22.89999962,22.95000076,22.70000076,22.79999924,20.47068024,22286215,IRFC.NS
2021-09-17,22.89999962,22.95000076,22.70000076,22.79999924,20.47068024,24880477,IRFC.NS
2021-09-20,22.75,22.89999962,22.60000038,22.64999962,20.33600616,10239638,IRFC.NS
2021-09-21,22.70000076,22.75,22.35000038,22.39999962,20.11154556,10140120,IRFC.NS
2021-09-22,22.45000076,22.60000038,22.29999924,22.35000038,20.06665421,9723023,IRFC.NS
2021-09-23,22.45000076,22.5,22.35000038,22.39999962,20.11154556,8459264,IRFC.NS
2021-09-24,22.45000076,22.54999924,22.25,22.29999924,20.02176285,10388205,IRFC.NS
2021-09-27,22.39999962,22.5,22.35000038,22.45000076,20.15643883,8668665,IRFC.NS
2021-09-28,22.39999962,22.5,22.29999924,22.35000038,20.06665421,11350575,IRFC.NS
2021-09-29,22.5,22.89999962,22.35000038,22.64999962,20.33600616,22206444,IRFC.NS
2021-09-30,22.89999962,23.04999924,22.70000076,22.85000038,20.5155735,14638191,IRFC.NS
2021-10-01,22.85000038,24,22.75,23.89999962,21.45830154,35110359,IRFC.NS
2021-10-04,24.20000076,24.54999924,23.79999924,23.85000038,21.41341209,28542026,IRFC.NS
2021-10-05,23.79999924,23.95000076,23.54999924,23.60000038,21.18894958,13352924,IRFC.NS
2021-10-06,23.60000038,24.20000076,23.54999924,23.64999962,21.23384285,40508684,IRFC.NS
